	PARAMETER	UNITS	95%(-)	68%(-)	FIT	68%(+)	95%(+)
BULGE	b	kpc	0.3828280577470643	0.3348155512795084	0.3876305503803647	0.44963837765850373	0.5964380283632003
---	M	M_Sun	7591618796.663815	5799544413.721304	7864203760.147013	15332588441.896658	40510128852.951515
---	Mass_bulge	M_Sun	1878970956.3737822	1488249959.7812035	1930310028.2630465	3542323494.2476006	10250305490.673056
EXPONENTIAL DISK	h_r	kpc	4.776777201215215	3.256114910067069	7.051151171777222	3.417823681089101	4.711771493903515
---	Sigma_0	M_Sun/pc^2	3844040486.7477093	1613355634.9560165	6066984690.63867	2095565305.59552	4190024078.873884
---	Mass_disk	M_Sun	48335353422.423065	28210242831.97255	75284512141.87639	16651163772.307632	28854829631.583435
NFW HALO	a	kpc	17.967815549861086	10.550596948397434	27.364940639692637	14.771562161851922	30.22556977129339
---	M_0	M_Sun	4069369936313.3003	3222882337524.923	4249040262140.254	3205563611651.7305	6033697347912.393
---	Mass_halo	M_Sun	26900107023.206654	15893182980.73499	30319962022.215252	19767517630.86426	46453868293.530685
