	PARAMETER	UNITS	95%(-)	68%(-)	FIT	68%(+)	95%(+)
BULGE	b	kpc	1.1517303245229464	1.0596292130346527	1.1605813587070586	0.6145647898805777	0.8187421636033105
---	M	M_Sun	345781993.3382462	258714803.28647813	367218206.5900407	419413188.4308286	1596260205.903674
---	Mass_bulge	M_Sun	79902456.93224874	59877654.10895312	85241727.9966287	101094705.22302687	461044459.1367964
EXPONENTIAL DISK	h_r	kpc	2.5225360891891064	1.1209042481550604	29.284578130783625	0.5450680659271789	0.6928840235268936
---	Sigma_0	M_Sun/pc^2	133958002.9671259	65660085.2202549	4864673156.52261	26113841.472845078	49559890.854273796
---	Mass_disk	M_Sun	2452716105.4010773	1123097500.6437225	85314211128.19978	574192285.3490143	771991566.627594
NFW HALO	a	kpc	28.077146257554908	15.95882839259409	39.6656115387719	14.136309646724229	19.864244899187803
---	M_0	M_Sun	131779264094.53088	114542317304.58075	133341416688.0704	151250514859.21786	506646625693.9479
---	Mass_halo	M_Sun	608006304.7593997	492776419.872556	616271730.3524717	1071304264.1827704	2197301972.743542
